localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Salta	Departamento Juramento descanso familiar	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 74m²	10	Precio $ 230.511	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Hermoso departamento	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	10	Precio $ 175.287	+ $ 36.810 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	del paseo	Apartamento entero, 2 dormitorios, 1 baño, 40m²	NA	Precio $ 117.105	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Altos de Salta	Apartamento entero, 1 dormitorio, 1 baño, 40m²	NA	Precio $ 113.160	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento nuevo, luminoso y completo en Salta Vista al Cerro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 30m²	9,9	Precio $ 172.575	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Hermoso departamento, excelente ubicación	Apartamento entero, 1 dormitorio, 1 baño, 28m²	NA	Precio original $ 119.447. Precio actual $ 95.557.	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento a 30 metros del Paseo Balcarce.	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 40m²	NA	Precio $ 142.498	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Monoambiente Alto Veinte I	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 30m²	NA	Precio $ 172.575	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento amoblado para dos personas	Apartamento entero, 1 dormitorio, 1 baño, 30m²	NA	Precio $ 201.173	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Apartamento Güemes	Apartamento entero, 3 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 90m²	7,1	Precio $ 167.644	+ $ 35.205 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	LQUEEN	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 45m²	8,3	Precio $ 115.773	+ $ 24.312 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Amplio dpto en el centro de Salta.	Apartamento entero, 4 dormitorios, 2 baños, 1 cocina	9,1	Precio $ 213.007	+ $ 44.731 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamentos 325 Salta	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 35m²	9,0	Precio $ 197.229	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamentos 325 Salta	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 35m²	9,0	Precio $ 197.229	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	V&C apart	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	NA	Precio $ 144.224	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Lo de Elena	Apartamento entero, 3 dormitorios, 2 baños, 100m²	9,7	Precio $ 314.333	+ $ 5.283 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Esquina25	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 95m²	NA	Precio $ 217.691	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Salta Capital	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 40m²	9,6	Precio $ 160.248	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Nenin Salta	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 79m²	9,8	Precio original $ 194.147. Precio actual $ 166.412.	+ $ 37.588 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Belgrano y Cornejo	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 80m²	NA	Precio $ 311.692	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Salta, Casa con Asador y Pileta	Casa o chalet entero, 4 dormitorios, 4 salas de estar, 4 baños, 1 cocina, 200m²	NA	Precio $ 399.388	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Caseros Apart	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 70m²	NA	Precio $ 377.200	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	ARENALES 742/403-404	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	NA	Precio $ 179.725	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Dpto. Tribuno	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 65m²	9,6	Precio $ 136.211	+ $ 28.604 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Depa independiente con Pile y Cochera	Apartamento entero, 1 dormitorio, 1 baño, 36m²	9,3	Precio original $ 197.229. Precio actual $ 167.644.	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	CASA EN SALTA CAPITAL	Casa o chalet entero, 2 dormitorios, 1 baño	NA	Precio $ 295.843	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Hospedaje Lati1	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	10	Precio $ 221.882	+ $ 46.595 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Depto Temporario Entre Rios 729	Apartamento entero, 2 dormitorios, 1 baño	NA	Precio $ 180.218	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamentos en Salta Tower	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	9,6	Precio $ 301.316	+ $ 63.276 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	C&P	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina	10	Precio $ 209.556	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Los Eucaliptos	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 60m²	5,0	Precio $ 182.313	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Aniceto y Pueyrredon	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 88m²	NA	Precio $ 402.347	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
