localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Corrientes	Dpto Parque Mitre	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina	NA	Precio $ 110.941	+ $ 23.298 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Departamento en Corrientes Capital	Apartamento entero, 1 dormitorio, 1 baño, 11m²	9,0	Precio $ 139.786	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Depto Temporario Centro Corrientes	Apartamento entero, 1 dormitorio, 1 baño, 40m²	10	Precio $ 121.243	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	alquilo departamento centrico-junin 659	Apartamento entero, 1 dormitorio, 1 baño, 40m²	9,5	Precio $ 147.922	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	del PARANA	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 50m²	8,9	Precio original $ 135.841. Precio actual $ 129.037.	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	departamento centrico y moderno	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	9,0	Precio $ 97.628	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	DEPARTAMENTO COSTANERA	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 50m²	8,9	Precio original $ 126.473. Precio actual $ 120.137.	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Temporario Ctes	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 57m²	8,6	Precio $ 145.086	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Gran Monoambiente en el Corazón de Corrientes	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 45m²	9,5	Precio $ 106.010	+ $ 24.023 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	TORRE GUAYASAMIN	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 38m²	8,8	Precio $ 172.575	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	punto de encuentro	Apartamento entero, 1 dormitorio, 1 baño	9,7	Precio $ 106.010	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Sobre Peatonal Junín	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 69m²	NA	Precio $ 165.869	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Departamento con buena ubicación	Apartamento entero, 1 dormitorio, 1 baño, 31m²	9,5	Precio $ 115.256	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	la casa de Roló	Casa o chalet entero, 1 dormitorio, 1 baño, 1 cocina	10	Precio $ 96.149	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	La rue de Rox	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 50m²	9,7	Precio $ 221.882	+ $ 24.654 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Placido Martinez	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño	8,2	Precio $ 156.550	+ $ 32.876 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Departamento Puesta del Sol	Apartamento entero, 2 dormitorios, 3 baños, 1 cocina, 90m²	10	Precio original $ 369.804. Precio actual $ 351.314.	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Apart Carayá	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 40m²	9,0	Precio $ 48.198	+ $ 1.233 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	La Escala ll	Apartamento entero, 1 dormitorio, 1 baño, 30m²	NA	Precio original $ 71.076. Precio actual $ 63.976.	+ $ 1.233 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Monoambientes en zona céntrica	Apartamento entero, 1 dormitorio, 1 baño, 22m²	10	Precio $ 86.288	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Torre Murano I	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 37m²	9,0	Precio $ 58.676	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Apart-Catamarca	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	10	Precio $ 93.856	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Hotel Confianza		7,8	Precio $ 120.803	+ $ 25.369 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Increíble Monoambiente centrico	Apartamento entero, 1 dormitorio, 1 baño	9,0	Precio $ 119.447	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Impecable y Cómodo, Dpto 1 dormitorio	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 43m²	9,8	Precio $ 117.598	+ $ 2.641 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Tapuy Porá	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 46m²	10	Precio $ 91.859	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Depto interno - centro - Inst Cardiologico - coch	Apartamento entero, 2 dormitorios, 1 baño	9,0	Precio $ 104.778	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Depto por dia	Apartamento entero, 1 dormitorio, 1 baño	10	Precio $ 86.962	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Espectacular departamento, parrilla y cochera.	Apartamento entero, 2 dormitorios, 3 baños, 1 cocina	9,5	Precio $ 176.330	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Edificio NEA	Apartamento entero, 1 dormitorio, 1 baño, 46m²	10	Precio original $ 147.922. Precio actual $ 125.733.	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Apart Juncal	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 10m²	9,3	Precio $ 70.731	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Corrientes	Apart Juncal	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 10m²	9,3	Precio $ 70.731	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
