localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Concepción del Uruguay	Casa quinta La Justina	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 2 baños, 1 cocina, 200m²	NA	Precio original $ 780.512. Precio actual $ 718.074.	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Concepción del Uruguay	Excelente casa en Concepción del Uruguay LA CHINA	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 100m²	8,0	Precio $ 596.390	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Colón	Cabañas Aires de Campos	Apartamento privado, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	8,3	Precio $ 342.528	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Gualeguaychú	Bungalows Maneyros		7,8	Precio $ 199.308	+ $ 41.855 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Gualeguaychú	Macaripana		8,5	Precio $ 247.283	+ $ 51.929 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Gualeguaychú	Tesouro Cabañas		7,9	Precio $ 837.474	+ $ 175.870 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Villa Paranacito	Hotel Villa Paranacito		7,8	Precio $ 114.646	+ $ 24.076 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Santa Fe	Puerto Amarras Hotel & Suites		8,0	Precio $ 257.783	+ $ 54.134 de impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	Departamento en Santa Fe con piscina	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina	NA	Precio $ 107.194	Incluye impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	Departamento de un dormitorio - HIPÓLITO	Apartamento entero, 1 dormitorio, 1 baño	10	Precio $ 114.990	Incluye impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	Hostal Santa Fe De La Veracruz		7,9	Precio original $ 159.817. Precio actual $ 140.639.	+ $ 29.534 de impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	Apart del Centro 01	Apartamento entero, 1 dormitorio, 1 baño, 36m²	9,6	Precio original $ 98.596. Precio actual $ 97.610.	+ $ 20.498 de impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	Amarras Center	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 56m²	9,2	Precio $ 165.664	Incluye impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	EXCLUSIVO en el corazón de Barrio CANDIOTI - TANDEMDESING	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,8	Precio original $ 142.514. Precio actual $ 112.586.	+ $ 25.760 de impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	Dpto. premium, exclusivo zona puerto	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	9,6	Precio $ 138.263	+ $ 29.035 de impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	Departamento en Amarras	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 35m²	8,9	Precio $ 118.888	Incluye impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	Departamento Urquiza XXXIV de 2 dormitorios	Apartamento entero, 1 dormitorio, 1 baño	8,5	Precio $ 132.531	Incluye impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	Departamento en Santa Fe	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 48m²	NA	Precio $ 123.818	Incluye impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	Departamento 2/3 personas	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 45m²	8,6	Precio $ 87.131	+ $ 18.298 de impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	Temporal Olimpico SANTA FE	Apartamento entero, 1 dormitorio, 1 baño, 52m²	9,7	Precio $ 114.646	Incluye impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	Luminoso Departamento	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 62m²	9,3	Precio $ 116.939	Incluye impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
Santa Fe	Kairós 1 - Departamentos Temporarios Santa Fe	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 40m²	9,4	Precio $ 137.576	+ $ 28.891 de impuestos y cargos	13 noches, 2 adultos	Santa Fe	2023-2-15	2023-2-28
